date,data,label
2016-11-21,0.996,"[0,1]"
2016-11-18,0.987,"[1,0]"
2016-11-17,0.991,"[0,1]"
2016-11-16,0.984,"[1,0]"
2016-11-15,0.972,"[1,0]"
2016-11-14,0.948,"[1,0]"
2016-11-11,0.974,"[0,1]"
2016-11-10,0.978,"[0,1]"
2016-11-09,1.001,"[0,1]"
2016-11-08,1.009,"[0,1]"
2016-11-07,1.011,"[0,1]"
2016-11-04,0.985,"[1,0]"
2016-11-03,0.986,"[0,1]"
2016-11-02,0.993,"[0,1]"
2016-11-01,1.017,"[0,1]"
2016-10-31,1.023,"[0,1]"
2016-10-28,1.043,"[0,1]"
2016-10-27,1.048,"[0,1]"
2016-10-26,1.055,"[0,1]"
2016-10-25,1.063,"[0,1]"
2016-10-24,1.063,"[1,0]"
2016-10-21,1.054,"[1,0]"
2016-10-20,1.051,"[1,0]"
2016-10-19,1.052,"[0,1]"
2016-10-18,1.051,"[1,0]"
2016-10-17,1.043,"[1,0]"
2016-10-14,1.046,"[0,1]"
2016-10-13,1.047,"[0,1]"
2016-10-12,1.06,"[0,1]"
2016-10-11,1.058,"[1,0]"
2016-10-10,1.084,"[0,1]"
2016-09-30,1.046,"[1,0]"
2016-09-29,1.052,"[0,1]"
2016-09-28,1.061,"[0,1]"
2016-09-27,1.064,"[0,1]"
2016-09-26,1.049,"[1,0]"
2016-09-23,1.066,"[0,1]"
2016-09-22,1.069,"[0,1]"
2016-09-21,1.058,"[1,0]"
2016-09-20,1.033,"[1,0]"
2016-09-19,1.038,"[0,1]"
2016-09-14,1.023,"[1,0]"
2016-09-13,1.014,"[1,0]"
2016-09-12,1.024,"[0,1]"
2016-09-09,1.013,"[1,0]"
2016-09-08,1.036,"[0,1]"
2016-09-07,1.031,"[1,0]"
2016-09-06,1.044,"[0,1]"
2016-09-05,1.024,"[1,0]"
2016-09-02,1.017,"[1,0]"
2016-09-01,1.011,"[1,0]"
2016-08-31,1.003,"[1,0]"
2016-08-30,1.005,"[0,1]"
2016-08-29,0.996,"[1,0]"
2016-08-26,0.988,"[1,0]"
2016-08-25,0.978,"[1,0]"
2016-08-24,0.976,"[1,0]"
2016-08-23,0.994,"[0,1]"
2016-08-22,0.99,"[1,0]"
2016-08-19,0.983,"[1,0]"
2016-08-18,0.98,"[1,0]"
2016-08-17,0.975,"[1,0]"
2016-08-16,0.984,"[0,1]"
2016-08-15,0.991,"[0,1]"
2016-08-12,0.975,"[1,0]"
2016-08-11,0.953,"[1,0]"
2016-08-10,0.945,"[1,0]"
2016-08-09,0.939,"[1,0]"
2016-08-08,0.927,"[1,0]"
2016-08-05,0.918,"[1,0]"
2016-08-04,0.905,"[1,0]"
2016-08-03,0.896,"[1,0]"
2016-08-02,0.902,"[0,1]"
2016-08-01,0.904,"[0,1]"
2016-07-29,0.901,"[1,0]"
2016-07-28,0.913,"[0,1]"
2016-07-27,0.914,"[0,1]"
2016-07-26,0.915,"[0,1]"
2016-07-25,0.907,"[1,0]"
2016-07-22,0.903,"[1,0]"
2016-07-21,0.903,"[1,0]"
2016-07-20,0.909,"[0,1]"
2016-07-19,0.9,"[1,0]"
2016-07-18,0.903,"[0,1]"
2016-07-15,0.894,"[1,0]"
2016-07-14,0.901,"[0,1]"
2016-07-13,0.892,"[1,0]"
2016-07-12,0.899,"[0,1]"
2016-07-11,0.891,"[1,0]"
2016-07-08,0.871,"[1,0]"
2016-07-07,0.867,"[1,0]"
2016-07-06,0.855,"[1,0]"
2016-07-05,0.858,"[0,1]"
2016-07-04,0.866,"[0,1]"
2016-07-01,0.867,"[0,1]"
2016-06-30,0.864,"[1,0]"
2016-06-29,0.851,"[1,0]"
2016-06-28,0.843,"[1,0]"
2016-06-27,0.829,"[1,0]"
2016-06-24,0.841,"[0,1]"
2016-06-23,0.856,"[0,1]"
2016-06-22,0.852,"[1,0]"
2016-06-21,0.846,"[1,0]"
2016-06-20,0.847,"[0,1]"
2016-06-17,0.837,"[1,0]"
2016-06-16,0.842,"[0,1]"
2016-06-15,0.852,"[0,1]"
2016-06-14,0.846,"[1,0]"
2016-06-13,0.843,"[1,0]"
2016-06-08,0.873,"[0,1]"
2016-06-07,0.884,"[0,1]"
2016-06-06,0.884,"[1,0]"
2016-06-03,0.876,"[1,0]"
2016-06-02,0.881,"[0,1]"
2016-06-01,0.883,"[0,1]"
2016-05-31,0.898,"[0,1]"
2016-05-30,0.891,"[1,0]"
2016-05-27,0.888,"[1,0]"
2016-05-26,0.871,"[1,0]"
2016-05-25,0.868,"[1,0]"
2016-05-24,0.868,"[1,0]"
2016-05-23,0.847,"[1,0]"
2016-05-20,0.85,"[0,1]"
2016-05-19,0.847,"[1,0]"
2016-05-18,0.859,"[0,1]"
2016-05-17,0.869,"[0,1]"
2016-05-16,0.867,"[1,0]"
2016-05-13,0.847,"[1,0]"
2016-05-12,0.848,"[0,1]"
2016-05-11,0.866,"[0,1]"
2016-05-10,0.878,"[0,1]"
2016-05-09,0.863,"[1,0]"
2016-05-06,0.893,"[0,1]"
2016-05-05,0.898,"[0,1]"
2016-05-04,0.897,"[1,0]"
2016-05-03,0.889,"[1,0]"
2016-04-29,0.91,"[0,1]"
2016-04-28,0.915,"[0,1]"
2016-04-27,0.912,"[1,0]"
2016-04-26,0.919,"[0,1]"
2016-04-25,0.926,"[0,1]"
2016-04-22,0.935,"[0,1]"
2016-04-21,0.937,"[0,1]"
2016-04-20,0.936,"[1,0]"
2016-04-19,0.939,"[0,1]"
2016-04-18,0.945,"[0,1]"
2016-04-15,0.946,"[0,1]"
2016-04-14,0.95,"[0,1]"
2016-04-13,0.945,"[1,0]"
2016-04-12,0.923,"[1,0]"
2016-04-11,0.917,"[1,0]"
2016-04-08,0.912,"[1,0]"
2016-04-07,0.908,"[1,0]"
2016-04-06,0.91,"[0,1]"
2016-04-05,0.892,"[1,0]"
2016-04-01,0.899,"[0,1]"
2016-03-31,0.9,"[0,1]"
2016-03-30,0.903,"[0,1]"
2016-03-29,0.899,"[1,0]"
2016-03-28,0.891,"[1,0]"
2016-03-25,0.9,"[0,1]"
2016-03-24,0.899,"[1,0]"
2016-03-23,0.897,"[1,0]"
2016-03-22,0.912,"[0,1]"
2016-03-21,0.908,"[1,0]"
2016-03-18,0.899,"[1,0]"
2016-03-17,0.887,"[1,0]"
2016-03-16,0.884,"[1,0]"
2016-03-15,0.871,"[1,0]"
2016-03-14,0.881,"[0,1]"
2016-03-11,0.878,"[1,0]"
2016-03-10,0.857,"[1,0]"
2016-03-09,0.861,"[0,1]"
2016-03-08,0.854,"[1,0]"
2016-03-07,0.863,"[0,1]"
2016-03-04,0.868,"[0,1]"
2016-03-03,0.856,"[1,0]"
2016-03-02,0.859,"[0,1]"
2016-03-01,0.853,"[1,0]"
2016-02-29,0.839,"[1,0]"
2016-02-26,0.842,"[0,1]"
2016-02-25,0.829,"[1,0]"
2016-02-24,0.847,"[0,1]"
2016-02-23,0.846,"[1,0]"
2016-02-22,0.858,"[0,1]"
2016-02-19,0.842,"[1,0]"
2016-02-18,0.834,"[1,0]"
2016-02-17,0.839,"[0,1]"
2016-02-16,0.824,"[1,0]"
2016-02-15,0.784,"[1,0]"
2016-02-05,0.812,"[0,1]"
2016-02-04,0.837,"[0,1]"
2016-02-03,0.828,"[1,0]"
2016-02-02,0.841,"[0,1]"
2016-02-01,0.859,"[0,1]"
2016-01-29,0.864,"[0,1]"
2016-01-28,0.843,"[1,0]"
2016-01-27,0.85,"[0,1]"
2016-01-26,0.862,"[0,1]"
2016-01-25,0.871,"[0,1]"
2016-01-22,0.87,"[1,0]"
2016-01-21,0.861,"[1,0]"
2016-01-20,0.857,"[1,0]"
2016-01-19,0.871,"[0,1]"
2016-01-18,0.859,"[1,0]"
2016-01-15,0.861,"[0,1]"
2016-01-14,0.889,"[0,1]"
2016-01-13,0.871,"[1,0]"
2016-01-12,0.888,"[0,1]"
2016-01-11,0.876,"[1,0]"
2016-01-08,0.901,"[0,1]"
2016-01-07,0.903,"[0,1]"
2016-01-06,0.939,"[0,1]"
2016-01-05,0.94,"[0,1]"
2016-01-04,0.93,"[1,0]"
2015-12-31,0.967,"[0,1]"
2015-12-30,0.966,"[1,0]"
2015-12-29,0.977,"[0,1]"
2015-12-28,0.971,"[1,0]"
2015-12-25,0.982,"[0,1]"
2015-12-24,0.983,"[0,1]"
2015-12-23,0.984,"[0,1]"
2015-12-22,0.981,"[1,0]"
2015-12-21,0.977,"[1,0]"
2015-12-18,0.976,"[1,0]"
2015-12-17,0.973,"[1,0]"
2015-12-16,0.975,"[0,1]"
2015-12-15,0.956,"[1,0]"
2015-12-14,0.941,"[1,0]"
2015-12-11,0.934,"[1,0]"
2015-12-10,0.955,"[0,1]"
2015-12-09,0.954,"[1,0]"
2015-12-08,0.963,"[0,1]"
2015-12-07,0.966,"[0,1]"
2015-12-04,0.962,"[1,0]"
2015-12-03,0.957,"[1,0]"
2015-12-02,0.966,"[0,1]"
2015-12-01,0.963,"[1,0]"
2015-11-30,0.961,"[1,0]"
2015-11-27,0.941,"[1,0]"
2015-11-26,0.949,"[0,1]"
2015-11-25,0.95,"[0,1]"
2015-11-24,0.947,"[1,0]"
2015-11-23,0.954,"[0,1]"
